iter	Passed	Remaining
0	3	1775
1	7	2142
2	11	2122
3	16	2329
4	21	2463
5	34	3205
6	36	2876
7	39	2746
8	49	3065
9	50	2817
10	61	3119
11	64	2977
12	67	2881
13	69	2756
14	71	2625
15	72	2492
16	76	2462
17	77	2369
18	81	2333
19	83	2275
20	91	2368
21	92	2292
22	97	2297
23	99	2253
24	102	2208
25	103	2143
26	112	2249
27	123	2370
28	125	2332
29	127	2273
30	130	2254
31	135	2254
32	139	2256
33	140	2204
34	143	2171
35	145	2142
36	149	2140
37	150	2098
38	160	2175
39	163	2147
40	167	2140
41	168	2103
42	170	2069
43	173	2060
44	183	2124
45	186	2112
46	191	2119
47	202	2188
48	204	2154
49	205	2125
50	207	2094
51	220	2183
52	230	2228
53	235	2229
54	239	2227
55	251	2288
56	254	2272
57	258	2259
58	262	2252
59	264	2227
60	266	2202
61	269	2187
62	270	2160
63	272	2136
64	283	2186
65	284	2158
66	287	2142
67	290	2123
68	301	2172
69	305	2161
70	307	2144
71	319	2192
72	321	2170
73	326	2168
74	332	2174
75	336	2169
76	347	2205
77	350	2190
78	351	2169
79	355	2160
80	358	2148
81	361	2135
82	363	2113
83	367	2108
84	372	2105
85	374	2090
86	378	2083
87	386	2097
88	388	2083
89	390	2066
90	399	2084
91	401	2070
92	405	2060
93	408	2049
94	417	2067
95	420	2059
96	424	2050
97	425	2033
98	427	2015
99	428	1997
100	433	1994
101	442	2012
102	444	1995
103	445	1979
104	447	1966
105	450	1955
106	453	1947
107	455	1931
108	457	1917
109	460	1908
110	462	1894
111	464	1884
112	466	1868
113	467	1853
114	468	1838
115	476	1848
116	484	1859
117	493	1873
118	497	1870
119	499	1855
120	506	1862
121	513	1868
122	517	1862
123	526	1875
124	535	1888
125	542	1895
126	546	1889
127	548	1878
128	553	1873
129	555	1864
130	564	1873
131	568	1868
132	572	1862
133	574	1852
134	577	1844
135	585	1850
136	587	1838
137	595	1846
138	598	1837
139	602	1832
140	610	1840
141	613	1831
142	621	1839
143	626	1835
144	630	1830
145	633	1822
146	635	1810
147	637	1800
148	640	1792
149	642	1782
150	645	1774
151	647	1763
152	655	1769
153	664	1778
154	666	1767
155	667	1754
156	671	1748
157	673	1739
158	674	1727
159	683	1734
160	685	1723
161	687	1715
162	691	1709
163	698	1713
164	701	1704
165	705	1700
166	709	1695
167	712	1687
168	715	1680
169	717	1671
170	726	1678
171	734	1682
172	736	1672
173	739	1666
174	742	1659
175	752	1666
176	753	1656
177	757	1651
178	765	1654
179	773	1659
180	779	1657
181	784	1654
182	793	1659
183	795	1652
184	797	1642
185	800	1635
186	809	1640
187	810	1630
188	822	1640
189	828	1639
190	831	1633
191	844	1644
192	848	1639
193	861	1651
194	871	1657
195	873	1648
196	881	1650
197	882	1639
198	887	1635
199	899	1645
200	908	1650
201	914	1647
202	916	1638
203	921	1634
204	924	1627
205	927	1620
206	931	1615
207	935	1610
208	939	1604
209	947	1606
210	951	1601
211	960	1603
212	962	1595
213	966	1590
214	970	1584
215	979	1586
216	982	1579
217	990	1580
218	993	1574
219	997	1569
220	998	1559
221	1003	1554
222	1008	1550
223	1012	1545
224	1014	1537
225	1019	1534
226	1028	1535
227	1037	1538
228	1038	1528
229	1040	1519
230	1044	1514
231	1051	1514
232	1059	1513
233	1061	1505
234	1064	1498
235	1067	1492
236	1075	1492
237	1078	1486
238	1086	1487
239	1094	1486
240	1101	1485
241	1105	1479
242	1108	1472
243	1116	1473
244	1120	1468
245	1124	1463
246	1133	1464
247	1135	1455
248	1138	1449
249	1147	1450
250	1152	1446
251	1160	1446
252	1167	1444
253	1170	1437
254	1178	1437
255	1185	1435
256	1191	1433
257	1199	1431
258	1202	1425
259	1210	1424
260	1214	1418
261	1217	1412
262	1220	1405
263	1224	1400
264	1228	1394
265	1230	1387
266	1231	1379
267	1234	1372
268	1239	1368
269	1242	1362
270	1250	1361
271	1259	1361
272	1262	1354
273	1270	1354
274	1272	1346
275	1280	1345
276	1283	1339
277	1286	1332
278	1295	1332
279	1299	1327
280	1307	1326
281	1310	1319
282	1314	1314
283	1316	1307
284	1319	1301
285	1322	1294
286	1329	1292
287	1333	1286
288	1341	1285
289	1347	1282
290	1356	1281
291	1359	1276
292	1367	1273
293	1370	1268
294	1379	1267
295	1381	1259
296	1389	1258
297	1396	1255
298	1404	1254
299	1409	1249
300	1413	1244
301	1423	1244
302	1427	1239
303	1435	1237
304	1439	1231
305	1440	1223
306	1443	1218
307	1446	1211
308	1450	1206
309	1459	1204
310	1467	1203
311	1476	1201
312	1478	1194
313	1482	1189
314	1483	1182
315	1492	1180
316	1496	1175
317	1504	1173
318	1508	1167
319	1512	1162
320	1517	1158
321	1518	1150
322	1527	1148
323	1530	1143
324	1533	1137
325	1534	1129
326	1543	1128
327	1553	1127
328	1557	1121
329	1560	1116
330	1566	1112
331	1571	1107
332	1578	1104
333	1587	1102
334	1596	1100
335	1599	1095
336	1608	1092
337	1616	1090
338	1623	1087
339	1632	1085
340	1640	1082
341	1643	1076
342	1650	1073
343	1654	1067
344	1664	1066
345	1671	1062
346	1678	1059
347	1680	1053
348	1683	1046
349	1690	1043
350	1694	1038
351	1697	1032
352	1706	1029
353	1715	1027
354	1718	1021
355	1729	1020
356	1738	1017
357	1742	1012
358	1746	1007
359	1757	1005
360	1765	1002
361	1773	999
362	1781	996
363	1784	990
364	1788	984
365	1793	979
366	1801	977
367	1805	971
368	1815	969
369	1825	967
370	1829	961
371	1833	955
372	1844	954
373	1857	953
374	1867	951
375	1877	948
376	1879	942
377	1886	938
378	1889	932
379	1899	929
380	1910	927
381	1913	921
382	1917	916
383	1927	913
